AÑO,MES,implementado,consulta externa,cred,discapacidad,inmunizacion,programacion,refcon,ventanilla unica,wawared,DIRESA
2018,7,0,0,1,20,122,0,0,0,7,PASCO
2021,5,78,62,78,33,104,90,130,78,117,LIMA SUR
2018,3,0,0,0,29,63,0,42,0,0,LAMBAYEQUE
2019,6,0,2,5,8,8,7,0,7,6,TUMBES
2021,10,72,48,46,9,73,81,80,80,74,LIMA ESTE
2020,1,37,27,38,66,44,38,97,38,27,HUANCAVELICA
2021,10,41,42,50,112,48,43,271,43,103,HUANUCO
2018,10,0,0,0,64,120,0,129,0,28,APURIMAC
2019,1,0,0,0,35,15,0,0,0,12,AMAZONAS
2021,7,37,34,65,203,124,39,394,37,42,ANCASH
2019,1,5,10,6,15,39,46,5,36,63,LIMA CENTRO
2019,9,20,15,20,63,88,20,129,20,25,LAMBAYEQUE
2020,9,24,27,28,50,28,29,36,27,30,AMAZONAS
2021,11,39,27,38,84,53,43,179,43,27,HUANCAVELICA
2020,6,24,23,26,166,31,24,56,24,26,CUSCO
2018,7,2,2,2,23,9,2,3,2,5,LORETO
2021,2,41,41,72,102,269,54,359,41,127,APURIMAC
2018,2,0,0,1,30,29,0,153,0,17,HUANUCO
2020,9,99,79,87,33,94,105,104,104,97,LIMA NORTE
2018,1,0,0,0,4,4,0,62,0,0,MADRE DE DIOS
2020,9,24,23,26,166,33,24,56,24,26,CUSCO
2018,8,2,2,2,23,9,2,3,2,5,LORETO
2020,6,24,27,28,50,28,29,36,27,29,AMAZONAS
2019,7,17,10,22,27,52,27,26,22,25,AYACUCHO
2019,2,0,0,2,57,155,0,241,0,42,PUNO
2019,6,19,4,19,88,217,19,246,19,66,APURIMAC
2018,2,0,0,0,58,19,0,0,0,6,CUSCO
2020,6,41,41,46,95,46,42,246,42,101,HUANUCO
2020,3,14,17,28,34,29,24,15,19,20,LORETO
2019,6,37,4,37,28,49,37,178,37,38,LA LIBERTAD
2019,1,26,6,5,10,85,82,40,65,95,LIMA NORTE
2020,2,10,7,12,6,13,11,26,10,12,TACNA
2021,9,5,5,5,13,12,6,71,5,5,MADRE DE DIOS
2021,6,29,28,36,70,135,33,165,29,32,LAMBAYEQUE
2019,5,9,3,5,24,172,12,244,9,79,AREQUIPA
2019,4,0,1,10,59,28,5,1,5,0,HUANCAVELICA
2019,3,3,1,0,6,25,6,16,5,19,MOQUEGUA
2021,5,24,23,26,187,34,25,66,24,26,CUSCO
2021,10,25,27,28,63,30,29,41,27,31,AMAZONAS
2019,11,13,13,28,21,48,49,15,43,64,LIMA CENTRO
2020,1,27,27,53,98,233,29,349,27,107,APURIMAC
2019,1,10,10,12,42,33,11,207,11,33,HUANUCO
2019,4,2,2,3,26,18,3,3,3,8,LORETO
2018,10,0,0,0,52,71,0,94,0,0,LAMBAYEQUE
2021,7,15,13,17,42,22,21,34,18,16,UCAYALI
2021,10,13,14,38,10,55,14,28,15,22,MOQUEGUA
2021,3,72,47,46,9,73,78,78,77,72,LIMA ESTE
2020,8,37,27,38,67,46,38,118,38,27,HUANCAVELICA
2021,12,69,63,140,40,196,80,257,72,130,AREQUIPA
2021,10,37,34,65,218,124,39,396,37,42,ANCASH
2019,1,0,0,0,57,22,0,1,0,0,HUANCAVELICA
2021,3,29,27,36,69,135,33,164,29,32,LAMBAYEQUE
2018,10,54,2,2,1,51,57,72,57,72,LIMA ESTE
2020,9,48,45,55,41,77,52,72,48,50,AYACUCHO
2020,3,47,48,50,26,54,50,50,49,64,LIMA CENTRO
2019,7,40,6,91,17,119,42,51,41,63,ICA
2019,7,32,29,33,19,37,32,52,32,54,JUNIN
2018,5,0,0,0,11,16,0,110,0,10,LIMA
2020,3,53,53,121,191,425,61,80,59,63,PIURA
2018,7,0,0,0,55,17,0,1,0,0,HUANCAVELICA
2020,11,41,41,47,101,48,42,250,42,102,HUANUCO
2019,12,70,47,44,7,57,78,76,76,72,LIMA ESTE
2020,5,29,27,34,64,113,33,162,29,32,LAMBAYEQUE
2019,11,25,18,46,97,231,28,336,25,97,APURIMAC
2018,9,0,1,0,20,40,2,0,1,0,AYACUCHO
2018,12,65,8,3,1,51,71,72,69,72,LIMA ESTE
2019,7,21,2,38,59,41,38,25,38,1,HUANCAVELICA
